eps_meters,min_samples,n_clusters,noise_pct,silhouette_score
500,30,4,5.716666666666667,0.5012464455301325
600,10,13,2.0083333333333333,0.488902187280288
600,5,21,0.8999999999999999,0.47857571077804667
500,5,25,1.2583333333333333,0.43669017900891616
600,20,10,3.1,0.4116182365280896
400,30,6,6.7250000000000005,0.3842594038106522
400,20,11,4.941666666666666,0.34926422830641396
500,10,14,2.4416666666666664,0.31340312268816095
200,30,12,14.05,0.3062383936928639
600,30,6,4.458333333333334,0.3019439879971534
500,20,10,3.816666666666667,0.28702686198461835
400,5,31,1.7000000000000002,0.26409743558223014
300,20,13,7.483333333333333,0.26089237555308703
400,10,15,3.4333333333333336,0.23602014059271315
200,20,17,11.308333333333334,0.19830750185650695
300,10,20,4.533333333333333,0.16140212856109895
300,5,36,2.5749999999999997,0.15856312899343114
200,5,52,4.491666666666667,0.12782843621162568
300,30,10,9.341666666666667,0.05446103974049065
200,10,33,7.191666666666667,-0.02615784318910848
